Seasons,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,GIDP
5,176,328,32,70,9,4,2,22.0,2.0,30,77.0,1.0,5.0,4.0,0.0,6.0
6,431,1501,218,393,79,3,63,182.0,17.0,154,478.0,5.0,4.0,4.0,4.0,28.0
4,79,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,302,99,9,12,0,0,0,2.0,0.0,6,14.0,0.0,0.0,8.0,0.0,2.0
6,68,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
7,106,2,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0
19,482,1019,79,216,31,15,3,75.0,1.0,53,194.0,0.0,1.0,35.0,0.0,0.0
8,267,678,37,137,17,4,2,45.0,9.0,23,82.0,0.0,1.0,23.0,0.0,0.0
1,2,3,1,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,1281,4019,591,1082,188,49,37,303.0,67.0,414,447.0,1.0,17.0,78.0,5.0,62.0
1,15,24,2,6,1,0,2,2.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0
10,576,2003,282,532,96,12,50,249.0,12.0,234,281.0,0.0,13.0,42.0,0.0,35.0
3,22,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,47,55,1,8,0,0,1,3.0,0.0,3,18.0,0.0,0.0,1.0,0.0,0.0
1,43,140,10,27,5,1,2,13.0,0.0,9,43.0,0.0,2.0,1.0,0.0,4.0
1,37,89,9,18,2,3,2,11.0,0.0,2,18.0,0.0,0.0,2.0,0.0,0.0
1,8,14,1,3,0,0,0,1.0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0
1,4,13,0,3,0,0,0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0
8,661,1617,152,452,79,5,34,225.0,6.0,111,183.0,8.0,4.0,9.0,19.0,47.0
3,95,337,39,88,8,6,0,18.0,4.0,22,24.0,0.0,2.0,3.0,0.0,5.0
1,1,4,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,44,10,0,3,1,0,0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0
2,30,32,0,1,0,0,0,0.0,0.0,0,16.0,0.0,0.0,1.0,0.0,0.0
3,117,137,30,36,5,1,7,26.0,11.0,14,47.0,0.0,1.0,1.0,1.0,4.0
14,856,2421,297,624,130,6,118,399.0,4.0,165,643.0,17.0,12.0,0.0,16.0,49.0
3,11,6,1,2,0,1,0,1.0,0.0,0,4.0,0.0,0.0,1.0,0.0,0.0
5,100,118,27,23,5,0,3,9.0,2.0,32,29.0,0.0,2.0,0.0,0.0,2.0
12,410,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,11,23,1,4,0,0,0,0.0,0.0,4,5.0,0.0,0.0,0.0,0.0,0.0
3,120,247,35,53,5,1,4,16.0,3.0,10,37.0,3.0,5.0,7.0,0.0,5.0
3,47,99,13,22,8,1,2,10.0,0.0,15,40.0,0.0,6.0,0.0,0.0,2.0
5,286,884,125,218,46,7,17,113.0,15.0,85,118.0,2.0,5.0,8.0,11.0,14.0
