playerID,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed
laneje01,3,2,6,31,2,0,0,1,235,84,39,5,25,33,335.0,18,41
lanfosa01,1,0,1,2,1,0,0,0,21,10,4,0,5,2,38.0,1,10
lanfrwa01,2,4,5,38,5,1,0,1,210,72,23,2,29,19,298.0,12,26
langch01,2,1,3,30,3,0,0,0,192,58,31,3,37,32,284.0,9,34
langeal01,1,1,3,36,0,0,0,1,107,37,16,5,16,39,162.0,6,18
langedi01,4,9,15,70,31,3,0,1,828,298,137,31,123,137,1242.0,11,167
langeer01,1,12,11,36,22,10,2,2,570,162,47,3,55,87,781.0,11,69
langefr01,4,28,25,95,60,25,4,3,1495,455,164,9,219,318,2072.0,28,234
langfri01,11,73,106,260,196,85,10,0,4473,1570,664,160,416,671,6329.0,24,745
langma01,1,0,0,2,0,0,0,0,5,9,10,2,3,2,16.0,0,10
langsma01,18,179,158,457,428,81,18,0,8888,2723,1306,311,1289,2464,12562.0,3,1438
langwma01,3,1,0,13,0,0,0,0,42,13,8,2,7,12,62.0,5,8
laniema01,16,108,82,327,204,91,21,17,4858,1490,541,65,611,821,6772.0,62,630
lankffr01,1,0,2,12,0,0,0,1,59,23,13,2,7,7,89.0,9,13
lannajo01,8,46,58,153,148,2,1,0,2586,913,400,86,325,450,3755.0,3,448
lannijo01,11,58,60,278,104,30,4,13,3213,1078,426,55,358,295,4577.0,92,503
lannire01,1,0,3,6,3,1,0,0,73,38,22,1,17,9,124.0,2,27
lannito01,1,0,1,3,1,0,0,0,21,9,5,0,2,2,33.0,1,7
lansige01,1,0,1,15,1,0,0,0,122,46,27,1,22,14,183.0,8,28
lapalpa01,12,24,45,253,51,10,2,14,1849,645,303,71,272,277,2724.0,94,353
lapihan01,2,0,2,4,2,0,0,0,69,22,18,1,16,8,109.0,0,19
lapoida01,18,80,86,294,227,11,4,1,4460,1598,664,117,559,802,6471.0,17,748
laraju01,2,0,0,10,0,0,0,0,19,6,3,1,2,4,26.0,2,4
larayo01,1,0,0,6,0,0,0,0,17,5,4,0,8,3,29.0,2,4
larkian01,5,3,11,39,15,0,0,1,317,139,104,18,75,69,522.0,11,112
larkipa01,1,0,0,5,0,0,0,0,31,13,5,1,3,6,48.0,4,6
larkist01,1,0,0,2,1,0,0,0,18,8,1,0,5,8,32.0,1,7
larkite01,5,89,80,176,176,172,9,0,4702,1627,424,12,124,406,6659.0,0,922
larocad01,1,0,0,1,0,0,0,0,3,0,0,0,0,1,3.0,1,0
larocda01,16,65,58,647,15,1,0,126,3148,919,411,94,459,819,4459.0,381,448
larosjo01,1,0,0,1,0,0,0,0,6,3,5,1,3,0,11.0,0,5
larsedo01,20,81,91,412,171,44,11,26,4644,1442,650,130,725,849,6708.0,132,728
larsoda01,7,10,25,78,43,7,0,1,970,331,158,30,140,151,1414.0,10,189
laryal01,2,0,1,16,4,0,0,0,120,45,29,5,22,22,182.0,4,29
laryfr01,19,128,116,350,292,126,21,11,6487,2123,838,197,616,1099,9107.0,30,960
lashefr01,8,11,13,151,1,0,0,22,606,179,87,18,110,148,882.0,55,103
laskebi01,8,42,53,159,116,10,1,2,2236,784,343,76,210,325,3174.0,16,382
laslebi01,1,0,0,2,0,0,0,0,12,7,3,0,2,0,21.0,1,3
lasorto01,3,0,4,26,6,0,0,1,175,53,42,9,56,37,283.0,9,49
lasteto01,1,0,0,1,0,0,0,0,4,3,1,1,0,0,6.0,0,1
lathabi01,2,1,4,14,5,0,0,0,116,45,23,2,13,18,170.0,3,24
lathrbi01,2,1,3,25,1,0,0,0,194,57,22,0,31,16,265.0,15,31
latmaba01,11,59,68,344,134,28,10,16,3657,1130,529,142,489,829,5220.0,77,605
latosma01,16,71,59,197,189,4,1,0,3460,1042,466,116,353,1011,4791.0,3,503
lattibi01,1,1,2,4,4,1,1,0,72,24,12,0,7,5,104.0,0,16
latzja01,1,0,1,1,1,0,0,0,14,5,3,3,0,4,19.0,0,3
lauerch01,1,0,2,3,3,2,0,0,57,23,16,0,9,8,95.0,0,25
