playerID,yearID,inducted,category
bresnro01,1938,N,Player
clarkfr01,1938,N,Player
brownmo01,1938,N,Player
hornsro01,1938,N,Player
schalra01,1938,N,Player
youngro01,1938,N,Player
planked01,1938,N,Player
pennohe01,1938,N,Player
mcginjo01,1938,N,Player
bendech01,1938,N,Player
bakerfr01,1938,N,Player
klingjo01,1938,N,Player
duffyhu01,1938,N,Player
jennihu01,1938,N,Player
jossad01,1938,N,Player
tinkejo01,1938,N,Player
heilmha01,1938,N,Player
ruckena01,1938,N,Player
adamsba01,1938,N,Player
crawfsa01,1938,N,Player
crigelo01,1938,N,Player
marquru01,1938,N,Player
vanceda01,1938,N,Player
roushed01,1938,N,Player
gowdyha01,1938,N,Player
rusieam01,1938,N,Player
tennefr02,1938,N,Player
altroni01,1938,N,Player
archeji01,1938,N,Player
combsea01,1938,N,Player
terrybi01,1938,N,Player
wallabo01,1938,N,Player
wheatza01,1938,N,Player
careyma01,1938,N,Player
woodjo02,1938,N,Player
donlimi01,1938,N,Player
lewisdu01,1938,N,Player
nehfar01,1938,N,Player
carribi02,1938,N,Player
dinnebi01,1938,N,Player
doylela01,1938,N,Player
hoopeha01,1938,N,Player
mcinnst01,1938,N,Player
barryja01,1938,N,Player
burnsge01,1938,N,Player
fletcar01,1938,N,Player
grohhe01,1938,N,Player
kerrdi01,1938,N,Player
nichoki01,1938,N,Player
traynpi01,1938,N,Player
bancrda01,1938,N,Player
bradlbi01,1938,N,Player
burkeje01,1938,N,Player
chesbja01,1938,N,Player
coombja01,1938,N,Player
cravaga01,1938,N,Player
elberki01,1938,N,Player
fosteed02,1938,N,Player
judgejo01,1938,N,Player
mageesh01,1938,N,Player
peckiro01,1938,N,Player
rixeyep01,1938,N,Player
schreos01,1938,N,Player
scottev01,1938,N,Player
beaumgi01,1938,N,Player
bergema01,1938,N,Player
chapmra01,1938,N,Player
coaklan01,1938,N,Player
coopewi01,1938,N,Player
covelst01,1938,N,Player
cranddo01,1938,N,Player
cruiswa01,1938,N,Player
dahlebi01,1938,N,Player
daubeja01,1938,N,Player
donovbi01,1938,N,Player
dooinre01,1938,N,Player
duganjo01,1938,N,Player
ehmkeho01,1938,N,Player
faberre01,1938,N,Player
flickel01,1938,N,Player
gleaski01,1938,N,Player
granted01,1938,N,Player
grimebu01,1938,N,Player
herzobu01,1938,N,Player
irwinch01,1938,N,Player
jonesfi01,1938,N,Player
lathaar01,1938,N,Player
loberha01,1938,N,Player
longhe01,1938,N,Player
luquedo01,1938,N,Player
marbefi01,1938,N,Player
meusebo01,1938,N,Player
milancl01,1938,N,Player
moranpa01,1938,N,Player
murrare01,1938,N,Player
perduhu01,1938,N,Player
ricesa01,1938,N,Player
sheckji01,1938,N,Player
shockur01,1938,N,Player
stahlja01,1938,N,Player
streega01,1938,N,Player
thomair01,1938,N,Player
willicy01,1938,N,Player
zimmech01,1938,N,Player
sislege01,1939,Y,Player
collied01,1939,Y,Player
keelewi01,1939,Y,Player
wadderu01,1939,N,Player
hornsro01,1939,N,Player
chancfr01,1939,N,Player
delahed01,1939,N,Player
walshed01,1939,N,Player
eversjo01,1939,N,Player
maranra01,1939,N,Player
colliji01,1939,N,Player
bresnro01,1939,N,Player
clarkfr01,1939,N,Player
brownmo01,1939,N,Player
bendech01,1939,N,Player
pennohe01,1939,N,Player
schalra01,1939,N,Player
duffyhu01,1939,N,Player
youngro01,1939,N,Player
jennihu01,1939,N,Player
mcginjo01,1939,N,Player
bakerfr01,1939,N,Player
cochrmi01,1939,N,Player
jossad01,1939,N,Player
planked01,1939,N,Player
friscfr01,1939,N,Player
terrybi01,1939,N,Player
vanceda01,1939,N,Player
klingjo01,1939,N,Player
ruckena01,1939,N,Player
tinkejo01,1939,N,Player
adamsba01,1939,N,Player
traynpi01,1939,N,Player
heilmha01,1939,N,Player
roushed01,1939,N,Player
careyma01,1939,N,Player
dinnebi01,1939,N,Player
nichoki01,1939,N,Player
altroni01,1939,N,Player
chesbja01,1939,N,Player
crawfsa01,1939,N,Player
lewisdu01,1939,N,Player
rusieam01,1939,N,Player
donlimi01,1939,N,Player
hoopeha01,1939,N,Player
kerrdi01,1939,N,Player
wallabo01,1939,N,Player
gowdyha01,1939,N,Player
marquru01,1939,N,Player
mcinnst01,1939,N,Player
wheatza01,1939,N,Player
archeji01,1939,N,Player
combsea01,1939,N,Player
faberre01,1939,N,Player
tennefr02,1939,N,Player
bushdo01,1939,N,Player
carribi02,1939,N,Player
cravaga01,1939,N,Player
crigelo01,1939,N,Player
donovbi01,1939,N,Player
ewingbu01,1939,N,Player
granted01,1939,N,Player
loberha01,1939,N,Player
schreos01,1939,N,Player
woodjo02,1939,N,Player
bancrda01,1939,N,Player
barryja01,1939,N,Player
bergema01,1939,N,Player
bradlbi01,1939,N,Player
burnsge01,1939,N,Player
coopewi01,1939,N,Player
crossla01,1939,N,Player
daubeja01,1939,N,Player
doylela01,1939,N,Player
fletcar01,1939,N,Player
frasech01,1939,N,Player
gleaski01,1939,N,Player
grimebu01,1939,N,Player
grimmch01,1939,N,Player
hahnno01,1939,N,Player
haineje01,1939,N,Player
hoytwa01,1939,N,Player
irwinch01,1939,N,Player
jonessa01,1939,N,Player
kellejo01,1939,N,Player
knabeot01,1939,N,Player
leachto01,1939,N,Player
longhe01,1939,N,Player
luquedo01,1939,N,Player
mageesh01,1939,N,Player
moranpa01,1939,N,Player
nehfar01,1939,N,Player
peckiro01,1939,N,Player
peitzhe01,1939,N,Player
perduhu01,1939,N,Player
phillde01,1939,N,Player
schacal01,1939,N,Player
scottev01,1939,N,Player
shockur01,1939,N,Player
stahlja01,1939,N,Player
steinha01,1939,N,Player
wilsoha01,1939,N,Player
ansonca01,1939,Y,Player
ewingbu01,1939,Y,Player
gehrilo01,1939,Y,Player
radboch01,1939,Y,Player
hornsro01,1942,Y,Player
chancfr01,1942,N,Player
wadderu01,1942,N,Player
walshed01,1942,N,Player
delahed01,1942,N,Player
eversjo01,1942,N,Player
cochrmi01,1942,N,Player
friscfr01,1942,N,Player
duffyhu01,1942,N,Player
pennohe01,1942,N,Player
colliji01,1942,N,Player
maranra01,1942,N,Player
jennihu01,1942,N,Player
brownmo01,1942,N,Player
planked01,1942,N,Player
mcginjo01,1942,N,Player
clarkfr01,1942,N,Player
bresnro01,1942,N,Player
bendech01,1942,N,Player
schalra01,1942,N,Player
traynpi01,1942,N,Player
youngro01,1942,N,Player
bakerfr01,1942,N,Player
vanceda01,1942,N,Player
terrybi01,1942,N,Player
tinkejo01,1942,N,Player
jossad01,1942,N,Player
klingjo01,1942,N,Player
ruckena01,1942,N,Player
adamsba01,1942,N,Player
gowdyha01,1942,N,Player
nichoki01,1942,N,Player
burkeje01,1942,N,Player
heilmha01,1942,N,Player
granted01,1942,N,Player
wheatza01,1942,N,Player
bushdo01,1942,N,Player
crawfsa01,1942,N,Player
martipe01,1942,N,Player
peckiro01,1942,N,Player
wallabo01,1942,N,Player
beaumgi01,1942,N,Player
becklja01,1942,N,Player
boleyjo01,1942,N,Player
bradlbi01,1942,N,Player
crossla01,1942,N,Player
dinnebi01,1942,N,Player
dunnja01,1942,N,Player
elberki01,1942,N,Player
faberre01,1942,N,Player
hamilbi01,1942,N,Player
hermaba01,1942,N,Player
hoytwa01,1942,N,Player
kellejo01,1942,N,Player
kerrdi01,1942,N,Player
lathaar01,1942,N,Player
lowebo01,1942,N,Player
mageesh01,1942,N,Player
phillde01,1942,N,Player
roushed01,1942,N,Player
rusieam01,1942,N,Player
schaege01,1942,N,Player
scottev01,1942,N,Player
steinha01,1942,N,Player
tennefr02,1942,N,Player
wambsbi01,1942,N,Player
wilsoha01,1942,N,Player
woodjo02,1942,N,Player
chancfr01,1945,N,Player
wadderu01,1945,N,Player
walshed01,1945,N,Player
eversjo01,1945,N,Player
bresnro01,1945,N,Player
cochrmi01,1945,N,Player
colliji01,1945,N,Player
delahed01,1945,N,Player
friscfr01,1945,N,Player
jennihu01,1945,N,Player
traynpi01,1945,N,Player
duffyhu01,1945,N,Player
clarkfr01,1945,N,Player
maranra01,1945,N,Player
tinkejo01,1945,N,Player
brownmo01,1945,N,Player
pennohe01,1945,N,Player
mcginjo01,1945,N,Player
bendech01,1945,N,Player
planked01,1945,N,Player
schalra01,1945,N,Player
terrybi01,1945,N,Player
grovele01,1945,N,Player
bakerfr01,1945,N,Player
hubbeca01,1945,N,Player
jossad01,1945,N,Player
youngro01,1945,N,Player
vanceda01,1945,N,Player
deandi01,1945,N,Player
dickebi01,1945,N,Player
klingjo01,1945,N,Player
gehrich01,1945,N,Player
ruckena01,1945,N,Player
adamsba01,1945,N,Player
gomezle01,1945,N,Player
heilmha01,1945,N,Player
nichoki01,1945,N,Player
roushed01,1945,N,Player
crawfsa01,1945,N,Player
lyonste01,1945,N,Player
carribi02,1945,N,Player
donovbi01,1945,N,Player
gowdyha01,1945,N,Player
greenha01,1945,N,Player
wallabo01,1945,N,Player
burkeje01,1945,N,Player
elberki01,1945,N,Player
granted01,1945,N,Player
hartnga01,1945,N,Player
lowebo01,1945,N,Player
phillde01,1945,N,Player
wheatza01,1945,N,Player
beaumgi01,1945,N,Player
bushdo01,1945,N,Player
camniho01,1945,N,Player
careyma01,1945,N,Player
combsea01,1945,N,Player
conrowi01,1945,N,Player
davisha01,1945,N,Player
dimagjo01,1945,N,Player
dinnebi01,1945,N,Player
donlimi01,1945,N,Player
dunnja01,1945,N,Player
gleaski01,1945,N,Player
gordojo01,1945,N,Player
grimmch01,1945,N,Player
grohhe01,1945,N,Player
kerrdi01,1945,N,Player
lazzeto01,1945,N,Player
lewisdu01,1945,N,Player
longhe01,1945,N,Player
mageesh01,1945,N,Player
martipe01,1945,N,Player
meusebo01,1945,N,Player
moranpa01,1945,N,Player
mungova01,1945,N,Player
murphda02,1945,N,Player
ritchcl01,1945,N,Player
rixeyep01,1945,N,Player
rootch01,1945,N,Player
rusieam01,1945,N,Player
seymocy01,1945,N,Player
sheckji01,1945,N,Player
southbi01,1945,N,Player
sweenbi02,1945,N,Player
tanneje01,1945,N,Player
vandejo01,1945,N,Player
willicy01,1945,N,Player
yerkest02,1945,N,Player
bresnro01,1945,Y,Player
broutda01,1945,Y,Player
clarkfr01,1945,Y,Player
colliji01,1945,Y,Player
delahed01,1945,Y,Player
duffyhu01,1945,Y,Player
jennihu01,1945,Y,Player
kellyki01,1945,Y,Player
orourji01,1945,Y,Player
chancfr01,1946,N,Player
chancfr01,1946,N,Player
eversjo01,1946,N,Player
huggimi01,1946,N,Player
wadderu01,1946,N,Player
walshed01,1946,N,Player
eversjo01,1946,N,Player
huggimi01,1946,N,Player
