playerID,nameFirst,nameLast,weight,height,bats_L,bats_R,throws_L,throws_R,Seasons,Wins,Losses,Games,Pitch_Starts,Complete_Games,Shutouts,Saves,Outs_Pitched,Hits,Earned_Runs,Home_Runs,Walks,Strikeouts,Batters_Faced,Games_Finished,Runs_Allowed,finalGame,Retired_Years,inducted,yearID,Total_Games,Games_Started,Primary_Position,Hall_Eligible
roberke02,Kenny,Roberts,200.0,73.0,1,0,1,0,3,1,1,15,0,0,0,0,41,22,11,0,3,6,65.0,4,11,2015-10-03,6.608219178082192,N,0.0,15,0.0,Pitcher,not_eligible
roberna01,Nate,Robertson,225.0,74.0,0,1,1,0,11,57,77,223,187,4,0,1,3457,1279,642,160,420,775,5064.0,8,696,2010-09-08,11.67945205479452,N,0.0,223,187.0,Pitcher,eligible
roberra01,Ray,Roberts,180.0,71.0,1,0,0,1,1,0,2,3,2,0,0,0,42,21,12,0,3,2,60.0,0,14,1919-09-26,102.69315068493152,N,0.0,3,2.0,Pitcher,not_eligible
roberri01,Rich,Robertson,210.0,74.0,0,1,0,1,6,13,14,86,40,8,1,2,907,333,166,31,153,184,1379.0,17,195,1971-07-20,50.84383561643836,N,0.0,86,40.0,Pitcher,not_eligible
roberri02,Rich,Robertson,175.0,76.0,1,0,1,0,6,17,30,114,61,6,3,0,1246,460,249,50,233,237,1898.0,14,275,1998-05-03,24.03835616438356,N,0.0,114,61.0,Pitcher,not_eligible
roberro01,Robin,Roberts,190.0,72.0,0,0,0,1,23,286,245,676,609,305,45,25,14066,4582,1774,505,902,2357,19174.0,49,1962,1966-09-03,55.72328767123288,N,1973.0,688,609.0,Pitcher,eligible
robersi01,Sid,Roberson,170.0,69.0,1,0,1,0,1,6,4,26,13,0,0,0,253,102,54,16,37,40,379.0,8,55,1995-09-29,26.63287671232877,N,0.0,26,13.0,Pitcher,not_eligible
roberty01,Tyler,Robertson,285.0,77.0,1,0,1,0,2,2,2,42,0,0,0,0,78,22,16,5,14,28,115.0,3,17,2013-04-05,9.104109589041096,N,0.0,42,0.0,Pitcher,not_eligible
roberwi01,Willis,Roberts,175.0,75.0,0,1,0,1,5,17,15,148,18,1,0,7,779,277,134,27,112,179,1165.0,54,146,2004-08-13,17.753424657534246,N,0.0,148,18.0,Pitcher,not_eligible
robinbi01,Bill,Anderson,187.96159353584943,72.3575939696445,0,0,0,0,1,0,1,1,1,1,0,0,24,10,9,2,6,2,40.0,0,10,1889-08-12,132.83287671232875,N,0.0,1,0.0,Pitcher,not_eligible
robinde01,Dewey,Robinson,180.0,72.0,0,1,0,1,3,2,2,30,0,0,0,0,160,42,24,4,28,35,220.0,13,27,1981-10-04,40.62739726027397,N,0.0,30,0.0,Pitcher,not_eligible
robindo01,Don,Robinson,225.0,76.0,0,1,0,1,19,109,106,524,229,34,6,57,5875,1894,824,175,643,1251,8252.0,185,907,1992-07-12,29.84931506849315,N,0.0,551,230.0,Pitcher,eligible
robinha01,Hank,Robinson,160.0,71.0,0,1,1,0,6,42,37,150,73,32,3,2,2104,646,197,6,159,238,2832.0,58,269,1918-08-12,103.81643835616438,N,0.0,150,72.0,Pitcher,not_eligible
robinhu01,Humberto,Robinson,155.0,73.0,0,1,0,1,7,8,13,102,7,2,0,4,639,189,77,17,90,114,901.0,47,92,1960-07-24,61.83835616438356,N,0.0,102,7.0,Pitcher,not_eligible
robinja03,Jack,Robinson,175.0,72.0,0,1,0,1,1,0,0,3,0,0,0,0,12,4,1,0,1,1,17.0,0,1,1949-05-11,73.04931506849314,N,0.0,3,0.0,Pitcher,not_eligible
robinje01,Jeff,Robinson,195.0,76.0,0,1,0,1,11,46,57,454,62,2,1,39,2704,880,380,75,349,629,3849.0,155,433,1992-10-03,29.621917808219177,N,0.0,455,61.0,Pitcher,eligible
robinje02,Jeff,Robinson,210.0,78.0,0,1,0,1,8,47,40,141,117,10,5,0,2126,672,377,88,347,425,3095.0,4,405,1992-07-20,29.827397260273973,N,0.0,141,116.0,Pitcher,not_eligible
robinke01,Ken,Robinson,175.0,69.0,0,1,0,1,3,2,2,29,0,0,0,0,145,35,21,8,26,40,208.0,13,26,1997-09-24,24.64383561643836,N,0.0,29,0.0,Pitcher,not_eligible
robinro01,Ron,Robinson,235.0,76.0,0,1,0,1,11,48,39,232,102,8,2,19,2400,819,323,61,253,473,3400.0,57,376,1992-07-02,29.876712328767123,N,0.0,232,101.0,Pitcher,eligible
robitch01,Chick,Robitaille,150.0,68.0,0,1,0,1,2,12,8,26,20,18,0,0,559,178,53,2,41,66,751.0,5,76,1905-08-29,116.77808219178084,N,0.0,26,20.0,Pitcher,not_eligible
robleha01,Hansel,Robles,220.0,72.0,0,1,0,1,11,27,23,385,1,0,0,41,1208,341,179,52,171,436,1697.0,122,195,2021-10-02,0.6054794520547945,N,0.0,385,1.0,Pitcher,not_eligible
roblema01,Mauricio,Robles,215.0,70.0,1,0,1,0,1,0,0,3,0,0,0,0,14,7,1,0,3,6,25.0,0,3,2013-09-26,8.627397260273973,N,0.0,3,0.0,Pitcher,not_eligible
